u,v,k,route_id
268208616,291332005,0,339
291332005,291700019,0,339
291332005,291700019,0,339
291332005,291700019,0,340
291332005,1996707804,0,341
9260255042,1996707804,0,342
291324772,291324773,0,343
291324773,291324772,0,343
1996707804,268206467,0,344
1996707804,268206467,0,344
413940537,413940534,1,345
268662846,268829894,0,346
268662846,268829894,0,346
312280611,1996707804,0,347
312280611,1996707804,0,347
292344273,292553609,0,348
291332005,291700019,0,349
291700018,291700019,0,349
291700019,291700018,0,349
288759444,288759446,0,350
288759446,288759444,0,350
291332005,291700019,0,351
291332005,291700019,0,351
289037290,1419189453,0,352
9269486932,312280608,0,353
9269486932,312280608,0,353
9269486932,312280608,0,354
312280608,9269486932,0,354
6603455485,268676336,0,355
435202749,268676330,0,356
3030197920,5757857991,0,357
9269486932,312280608,0,358
1670874045,1670874083,0,359
1670874045,1670874083,0,359
1670874045,1670874083,0,359
1996707804,9260255042,0,360
9260255042,1996707804,0,360
1996707804,268206467,0,361
1996707804,268206467,0,361
312280611,1996707804,0,361
1996707804,312280611,0,361
1996707804,312280611,0,361
312280611,1996707804,0,361
312280611,1996707804,0,361
312280611,1996707804,0,361
312280611,1996707804,0,361
312280608,312280611,0,361
312280608,6520727684,0,361
3030197920,435202755,0,362
9269486932,312280608,0,363
413940534,413940537,1,364
413940534,413940537,1,364
413940537,50016625,0,364
413940537,50016625,0,364
413940543,50016625,0,364
413940543,50016625,0,364
619219587,413940543,0,364
413940545,619219587,0,364
268415973,413940545,0,364
268415973,2378985978,0,364
268415973,2378985978,0,364
4830213905,2378985978,0,364
619218761,4830213905,0,364
619218761,4830213905,0,364
619218761,350474549,0,364
619218761,350474549,0,364
619218761,350474549,0,364
350474549,50016632,0,364
350474549,50016632,0,364
50016632,3108763320,0,364
50016632,3108763320,0,364
50016632,3108763320,0,364
50016632,3108763320,0,364
300043356,3108763320,0,364
3108763320,300043356,0,364
3108763320,300043356,0,364
300043356,3108763320,0,364
3108763320,300043356,0,364
3108763320,300043356,0,364
3108763320,300043356,0,364
3108763320,300043356,0,364
300043356,3108763320,0,364
3108763320,300043356,0,364
3108763320,300043356,0,364
3108763320,300043356,0,364
300043356,3108763320,0,364
300043356,3108763320,0,364
3108763320,300043356,0,364
300043356,3108763320,0,364
300043356,3108763320,0,364
3108763320,300043356,0,364
3108763320,300043356,0,364
10214564631,300043356,0,364
300043356,10214564631,0,364
300043356,10214564631,0,364
300043356,10214564631,0,364
300024562,10214564631,0,364
300024562,10214564631,0,364
300024562,10214564631,0,364
300024562,10214564631,0,364
300024562,564916703,0,364
564916703,286481347,0,364
564916703,286481347,0,364
402867330,286481347,0,364
286481347,402867330,0,364
402867330,286481347,0,364
402867330,286481347,0,364
402867330,286481347,0,364
435202749,268676330,0,365
435202749,268676330,0,365
9269486932,312280608,0,366
288760413,288760407,0,367
288760407,288760413,0,367
1996707804,312280611,0,368
288759444,288759446,0,369
289037290,1419189453,0,370
1419189453,289037290,0,370
268662846,268829894,0,371
402867330,851586524,0,372
402867330,851586524,0,373
288759446,288759444,0,374
288759446,1419189388,0,374
402867330,286481347,0,375
402867330,286481347,0,375
402867330,286481347,0,375
286481347,402867330,0,375
402867330,286481347,0,375
564916703,286481347,0,375
564916703,286481347,0,375
300024562,564916703,0,375
300024562,10214564631,0,375
300024562,10214564631,0,375
300024562,10214564631,0,375
300024562,10214564631,0,375
300043356,10214564631,0,375
300043356,10214564631,0,375
300043356,10214564631,0,375
10214564631,300043356,0,375
3108763320,300043356,0,375
3108763320,300043356,0,375
300043356,3108763320,0,375
300043356,3108763320,0,375
3108763320,300043356,0,375
300043356,3108763320,0,375
300043356,3108763320,0,375
3108763320,300043356,0,375
3108763320,300043356,0,375
3108763320,300043356,0,375
300043356,3108763320,0,375
3108763320,300043356,0,375
3108763320,300043356,0,375
3108763320,300043356,0,375
3108763320,300043356,0,375
300043356,3108763320,0,375
3108763320,300043356,0,375
3108763320,300043356,0,375
300043356,3108763320,0,375
3108763320,50016555,0,375
3108763320,50016555,0,375
3108763320,50016555,0,375
3108763320,50016555,0,375
50016555,3108763321,0,375
50016555,3108763321,0,375
50016555,3108763321,0,375
50016555,3108763321,0,375
50016555,3108763321,0,375
50016555,3108763321,0,375
3108763321,350475292,0,375
3108763321,350475292,0,375
3108763321,350475292,0,375
3108763321,350475292,0,375
350475292,50016637,0,375
350475292,50016637,0,375
50016637,350474540,0,375
50016637,350474540,0,375
50016637,350474540,0,375
50016637,350474540,0,375
50016637,350474540,0,375
50016637,350474540,0,375
50016637,350474540,0,375
350474540,350474541,0,375
350474540,350474541,0,375
350474541,619218761,0,375
350474541,619218761,0,375
350474541,619218761,0,375
350474541,619218761,0,375
619218761,4830213905,0,375
619218761,4830213905,0,375
4830213905,2378985978,0,375
268415973,2378985978,0,375
268415973,2378985978,0,375
268415973,268251634,0,375
268415973,268251634,0,375
